participant_id,block,block_idx,question_idx,question,left_anchor,right_anchor,response,scale_min,scale_max
3,AUTOMATION1,2,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
3,AUTOMATION1,2,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
3,AUTOMATION1,2,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
3,AUTOMATION1,2,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,4,1,5
3,AUTOMATION1,2,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
3,AUTOMATION2,4,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,1,1,5
3,AUTOMATION2,4,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,1,1,5
3,AUTOMATION2,4,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,1,1,5
3,AUTOMATION2,4,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,1,1,5
3,AUTOMATION2,4,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,5,1,5
3,AUTOMATION2,4,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
4,AUTOMATION1,2,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,4,1,5
4,AUTOMATION1,2,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
4,AUTOMATION1,2,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,3,1,5
4,AUTOMATION1,2,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,3,1,5
4,AUTOMATION1,2,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,3,1,5
4,AUTOMATION1,2,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,3,1,5
4,AUTOMATION2,3,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,2,1,5
4,AUTOMATION2,3,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
4,AUTOMATION2,3,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
4,AUTOMATION2,3,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
4,AUTOMATION2,3,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,2,1,5
4,AUTOMATION2,3,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,3,1,5
5,AUTOMATION2,2,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION2,2,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,3,1,5
5,AUTOMATION2,2,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
5,AUTOMATION2,2,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,1,1,5
5,AUTOMATION2,2,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION2,2,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION1,4,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,5,1,5
5,AUTOMATION1,4,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION1,4,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION1,4,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,3,1,5
5,AUTOMATION1,4,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,4,1,5
5,AUTOMATION1,4,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION2,2,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,1,1,5
6,AUTOMATION2,2,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
6,AUTOMATION2,2,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
6,AUTOMATION2,2,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
6,AUTOMATION2,2,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,2,1,5
6,AUTOMATION2,2,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,3,1,5
6,AUTOMATION1,3,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION1,3,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION1,3,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION1,3,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION1,3,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,4,1,5
6,AUTOMATION1,3,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION1,3,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION1,3,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION1,3,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION1,3,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,3,1,5
7,AUTOMATION1,3,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,2,1,5
7,AUTOMATION1,3,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION2,4,1,I believe the automated decision aid is a competent performer.,Strongly disagree,Strongly agree,2,1,5
7,AUTOMATION2,4,2,I trust the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
7,AUTOMATION2,4,3,I have confidence in the advice given by the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
7,AUTOMATION2,4,4,I can depend on the automated decision aid.,Strongly disagree,Strongly agree,2,1,5
7,AUTOMATION2,4,5,I can rely on the automated decision aid to behave in consistent ways.,Strongly disagree,Strongly agree,4,1,5
7,AUTOMATION2,4,6,I can rely on the automated decision aid to do its best every time I take its advice.,Strongly disagree,Strongly agree,2,1,5
